signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-05-27,8306,三菱UFJ,0.1700256153191246,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3010.0,3010.9,2999.0,2998.1,3010.9,2998.1,-1267,-0.43,0.0,TIME
2026-05-28,8306,三菱UFJ,0.7423406528699504,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,2995.0,2995.9,3023.0,3022.09,2995.9,3022.09,2619,0.87,0.0,TIME
2026-05-29,8306,三菱UFJ,0.1728277270840848,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,2995.0,2995.9,3046.0,3045.09,2995.9,3045.09,4918,1.64,0.0,TIME
2026-06-01,8306,三菱UFJ,0.386747497407203,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3013.0,3013.9,3137.0,3136.06,3013.9,3136.06,12093,4.05,0.0,TIME
2026-06-02,8306,三菱UFJ,0.6895203763839932,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3062.0,3062.92,3169.0,3168.05,3062.92,3168.05,10197,3.43,0.0,TIME
2026-06-04,8306,三菱UFJ,0.5010892886921584,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3210.0,3210.96,3168.0,3167.05,3210.96,3167.05,-4083,-1.37,0.0,TIME
2026-06-10,8306,三菱UFJ,0.2828090604314701,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3113.0,3113.93,3162.0,3161.05,3113.93,3161.05,4523,1.51,0.0,TIME
2026-06-12,8306,三菱UFJ,0.1949693022611507,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3231.0,3231.97,3228.0,3227.03,3231.97,3227.03,-454,-0.15,0.0,TIME
2026-06-16,8306,三菱UFJ,0.3862900184959475,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3266.0,3266.98,3374.0,3372.99,3266.98,3372.99,9646,3.24,0.0,TIME
2026-06-17,8306,三菱UFJ,0.5627978548996936,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3324.0,3325.0,3278.0,3277.02,3325.0,3277.02,-4318,-1.44,0.0,TIME
2026-06-19,8306,三菱UFJ,0.1739626733672352,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3242.0,3242.97,3267.0,3266.02,3242.97,3266.02,2120,0.71,0.0,TIME
2026-06-22,8306,三菱UFJ,0.2947393514835548,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3336.0,3337.0,3205.0,3204.04,3337.0,3204.04,-11833,-3.98,0.0,TIME
2026-06-23,8306,三菱UFJ,0.867799002524463,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3291.0,3291.99,3233.0,3232.03,3291.99,3232.03,-5456,-1.82,0.0,TIME
2026-06-24,8306,三菱UFJ,0.7359727350325744,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3275.0,3275.98,3245.0,3244.03,3275.98,3244.03,-2907,-0.98,0.0,TIME
2026-06-25,8306,三菱UFJ,0.3707488028986945,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3240.0,3240.97,3211.0,3210.04,3240.97,3210.04,-2846,-0.95,0.0,TIME
2026-06-26,8306,三菱UFJ,0.2845389779834687,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3245.0,3245.97,3207.0,3206.04,3245.97,3206.04,-3674,-1.23,0.0,TIME
2026-06-30,8306,三菱UFJ,0.2728963145363455,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3215.0,3215.96,3306.0,3305.01,3215.96,3305.01,8281,2.77,0.0,TIME
2026-07-02,8306,三菱UFJ,0.3582932948540054,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3325.0,3326.0,3370.0,3368.99,3326.0,3368.99,3869,1.29,0.0,TIME
2026-07-06,8306,三菱UFJ,0.4855843623234651,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3430.0,3431.03,3433.0,3431.97,3431.03,3431.97,81,0.03,0.0,TIME
2026-07-07,8306,三菱UFJ,0.160463183536048,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3455.0,3456.04,3414.0,3412.98,3456.04,3412.98,-3703,-1.25,0.0,TIME
2026-07-08,8306,三菱UFJ,0.4389120370649875,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,3399.0,3400.02,3461.0,3459.96,3400.02,3459.96,5274,1.76,0.0,TIME
2026-07-09,8306,三菱UFJ,0.3683121259500082,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
2026-07-10,8306,三菱UFJ,0.5971880388988874,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
